Date,Water Level(metre),Water Temperature(degree celsius),Air Temperature(degree celsius),Percipitation(millimetre),Relative Humidity(percentage),Atmospheric Pressure(kilopascal)
2022-09-27 00:00,256.176,1.700,12.210,0.000,65.952,99.285
2022-09-28 00:00,256.174,1.700,13.796,0.200,62.892,98.503
2022-09-29 00:00,256.191,1.700,15.463,0.000,69.302,98.401
2022-09-30 00:00,256.184,1.700,10.721,0.000,65.904,99.373
2022-10-01 00:00,256.184,1.700,11.065,0.000,62.327,99.639
2022-10-02 00:00,256.184,1.700,12.475,0.000,74.713,98.808
2022-10-03 00:00,256.198,1.700,12.904,0.000,66.183,98.669
2022-10-04 00:00,256.198,1.700,11.838,0.000,78.525,98.533
2022-10-05 00:00,256.216,1.700,6.102,0.000,67.392,99.280
2022-10-06 00:00,256.198,1.700,1.931,0.100,66.321,100.471
2022-10-07 00:00,256.199,1.700,8.777,0.000,54.596,99.105
2022-10-08 00:00,256.198,1.700,9.565,0.000,68.594,98.625
2022-10-09 00:00,256.189,1.700,9.481,0.000,69.654,98.772
2022-10-10 00:00,256.192,1.700,12.531,0.000,69.035,97.113
2022-10-11 00:00,256.200,1.700,10.469,3.280,74.075,95.969
2022-10-12 00:00,256.254,1.700,4.425,0.070,60.046,96.897
2022-10-13 00:00,256.300,1.700,2.190,1.990,72.669,97.226
2022-10-14 00:00,256.243,1.700,2.694,2.050,83.735,97.214
2022-10-15 00:00,256.259,1.700,3.546,0.110,68.677,98.054
2022-10-16 00:00,256.233,1.700,-0.202,0.000,50.890,99.650
2022-10-17 00:00,256.202,1.700,1.804,0.000,54.717,99.729
2022-10-18 00:00,256.183,1.700,4.783,1.380,55.996,99.008
2022-10-19 00:00,256.206,1.700,7.058,0.120,66.413,98.334
2022-10-20 00:00,256.212,1.700,9.652,0.250,66.654,96.617
2022-10-21 00:00,256.219,1.700,6.571,0.000,62.498,96.379
2022-10-22 00:00,256.212,1.700,3.619,0.000,67.765,97.527
2022-10-23 00:00,256.216,1.700,2.908,0.310,69.256,98.325
2022-10-24 00:00,256.221,1.700,-0.402,3.350,86.513,96.881
2022-10-25 00:00,256.252,1.700,-0.904,0.680,80.315,97.325
2022-10-26 00:00,256.219,1.700,0.425,0.100,73.735,98.054
2022-10-27 00:00,256.202,1.700,4.302,0.130,75.208,97.268
2022-10-28 00:00,256.215,1.700,6.319,0.000,63.967,97.394
2022-10-29 00:00,256.219,1.700,6.142,0.000,62.023,97.894
2022-10-30 00:00,256.218,1.700,4.873,0.000,58.831,97.450
2022-10-31 00:00,256.220,1.700,5.425,0.000,62.906,96.806
2022-11-01 00:00,256.220,1.700,-0.083,0.510,78.115,98.148
2022-11-02 00:00,256.209,1.700,-0.071,0.360,83.952,97.323
2022-11-03 00:00,256.234,1.700,-2.927,0.060,76.917,97.673
2022-11-04 00:00,256.229,1.700,-1.985,0.290,71.306,97.355
2022-11-05 00:00,256.222,1.700,0.821,1.090,80.094,95.965
2022-11-06 00:00,256.249,1.700,-2.848,6.340,87.427,97.215
2022-11-07 00:00,256.266,1.700,-9.379,0.000,80.913,100.230
2022-11-08 00:00,256.258,1.700,-4.400,1.830,85.388,99.254
2022-11-09 00:00,256.212,1.700,-12.473,0.000,79.275,99.240
2022-11-10 00:00,256.235,1.700,-11.544,0.000,79.894,99.751
2022-11-11 00:00,256.231,1.700,-10.681,0.000,78.458,99.752
2022-11-12 00:00,256.230,1.700,-8.704,0.000,79.019,99.626
2022-11-13 00:00,256.229,1.700,-7.923,0.000,78.606,99.421
2022-11-14 00:00,256.223,1.700,-9.433,0.000,79.771,99.556
2022-11-15 00:00,256.199,0.912,-11.637,0.010,79.452,99.756
2022-11-16 00:00,256.170,0.300,-4.990,0.840,83.427,98.798
2022-11-17 00:00,256.145,0.300,-11.771,0.430,75.360,99.428
2022-11-18 00:00,256.132,0.300,-10.285,0.450,75.238,97.963
2022-11-19 00:00,256.127,0.300,-12.467,0.410,77.713,98.304
2022-11-20 00:00,256.119,0.306,-7.077,0.000,76.877,97.539
2022-11-21 00:00,256.114,0.363,-6.840,0.180,78.498,98.378
2022-11-22 00:00,256.092,0.375,-3.106,0.450,82.152,97.464
2022-11-23 00:00,256.068,0.400,-1.681,0.000,79.785,97.447
2022-11-24 00:00,256.060,0.400,-2.077,0.000,78.221,98.261
2022-11-25 00:00,256.061,0.400,-0.263,0.000,78.435,96.963
2022-11-26 00:00,256.064,0.442,-1.435,0.140,75.708,97.361
2022-11-27 00:00,256.069,0.460,-5.796,0.430,83.638,97.272
2022-11-28 00:00,256.083,0.500,-2.638,1.330,86.240,96.331
2022-11-29 00:00,256.082,0.500,-11.142,1.240,80.806,97.628
2022-11-30 00:00,256.083,0.500,-20.237,0.340,74.498,99.041
2022-12-01 00:00,256.075,0.500,-20.335,0.840,74.846,98.318
2022-12-02 00:00,256.069,0.500,-22.723,0.000,74.140,98.264
2022-12-03 00:00,256.061,0.500,-21.525,0.000,75.269,98.140
2022-12-04 00:00,256.046,0.504,-13.710,0.540,78.952,96.898
2022-12-05 00:00,256.034,0.521,-26.392,0.000,72.054,98.285
2022-12-06 00:00,256.015,0.513,-27.225,0.000,71.187,98.740
2022-12-07 00:00,255.992,0.500,-26.596,0.000,71.687,98.825
2022-12-08 00:00,255.964,0.544,-20.860,0.000,72.210,99.058
2022-12-09 00:00,255.933,0.535,-12.694,0.000,78.581,98.236
2022-12-10 00:00,255.907,0.504,-11.283,0.000,80.658,98.381
2022-12-11 00:00,255.880,0.533,-7.606,0.000,81.433,98.821
2022-12-12 00:00,255.863,0.594,-1.846,0.160,83.215,98.561
2022-12-13 00:00,255.850,0.510,-5.273,0.000,86.250,98.773
2022-12-14 00:00,255.837,0.565,-4.390,2.470,86.606,98.492
2022-12-15 00:00,255.829,0.552,-6.179,0.390,85.265,98.297
2022-12-16 00:00,255.820,0.556,-12.400,0.000,80.967,98.425
2022-12-17 00:00,255.801,0.600,-20.663,0.000,75.137,99.293
2022-12-18 00:00,255.793,0.600,-23.688,0.000,73.254,100.090
2022-12-19 00:00,255.766,0.600,-22.640,0.140,70.721,100.229
2022-12-20 00:00,255.731,0.598,-25.106,0.150,73.067,100.186
2022-12-21 00:00,255.695,0.598,-24.163,0.000,73.700,99.894
2022-12-22 00:00,255.659,0.600,-21.308,0.740,73.279,99.873
2022-12-23 00:00,255.624,0.592,-25.910,0.000,71.350,100.422
2022-12-24 00:00,255.596,0.600,-26.010,0.000,72.315,100.173
2022-12-25 00:00,255.571,0.556,-18.602,0.000,73.317,99.147
2022-12-26 00:00,255.546,0.508,-15.833,0.000,76.358,98.436
2022-12-27 00:00,255.527,0.508,-15.140,0.460,76.540,97.044
2022-12-28 00:00,255.504,0.508,-18.694,1.360,75.183,96.978
2022-12-29 00:00,255.481,0.500,-17.706,0.090,74.567,97.503
2022-12-30 00:00,255.457,0.517,-18.365,0.690,74.992,97.620
2022-12-31 00:00,255.436,0.500,-13.942,0.000,80.367,97.263
2023-01-01 00:00,255.412,0.500,-11.821,0.000,81.296,97.906
2023-01-02 00:00,255.388,0.500,-11.075,0.000,81.421,97.919
2023-01-03 00:00,255.364,0.508,-13.481,0.000,80.081,97.908
2023-01-04 00:00,255.341,0.508,-13.390,0.000,80.085,98.202
2023-01-05 00:00,255.319,0.500,-12.371,0.000,81.277,98.475
